,Scout Name,Match Number,Dead,No Show,Team Number,Cross Auto,Switch Auto,Scale Auto,Auto Other,Tele-Switch,Tele-Scale,Tele-Portal,Tele-Switch-#,Tele-Scale-#,Tele-Portal-#,Climb-True,Tech-fouls,Attempted,Penalties,Climb-No
H5_ (9).pdf,VT,10,FALSE,FALSE,2152,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,0,4,0,TRUE,,FALSE,,FALSE
H8_ (1).pdf,Robbie,1,FALSE,FALSE,348,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,1,0,3,FALSE,,FALSE,,TRUE
H8_ (10).pdf,Michael,30,FALSE,FALSE,4562,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,1,1,0,FALSE,,FALSE,,TRUE
H8_ (11).pdf,Michael,31,FALSE,FALSE,2383,TRUE,FALSE,TRUE,,TRUE,TRUE,TRUE,1,4,1,FALSE,,FALSE,,TRUE
H8_ (12).pdf,Michael,32,FALSE,FALSE,4592,TRUE,TRUE,FALSE,,FALSE,TRUE,FALSE,0,3,0,TRUE,,FALSE,,FALSE
H8_ (13).pdf,Michael,33,FALSE,FALSE,1523,TRUE,FALSE,FALSE,Died at around 45 sec.  Did some back but didn't move,TRUE,FALSE,FALSE,1,0,0,FALSE,,FALSE,,TRUE
H8_ (14).pdf,Michael,34,FALSE,FALSE,7231,TRUE,FALSE,FALSE,Died at 63 sec.came back too late,TRUE,FALSE,FALSE,1,0,0,FALSE,,FALSE,,TRUE
H8_ (15).pdf,Michael,35,FALSE,FALSE,6686,TRUE,FALSE,FALSE,Defense boi,FALSE,FALSE,FALSE,0,0,0,FALSE,,FALSE,,TRUE
H8_ (16).pdf,Michael,36,FALSE,FALSE,7215,TRUE,FALSE,FALSE,Zoomie,FALSE,FALSE,FALSE,0,0,0,FALSE,,FALSE,,TRUE
H8_ (17).pdf,Michael,37,FALSE,FALSE,7152,FALSE,FALSE,FALSE,Robot broke,TRUE,FALSE,FALSE,1,0,0,FALSE,,FALSE,,TRUE
H8_ (18).pdf,Michael,38,FALSE,FALSE,4592,TRUE,TRUE,FALSE,,TRUE,FALSE,FALSE,1,0,0,FALSE,,FALSE,,TRUE
H8_ (19).pdf,Robbie,6,FALSE,FALSE,3932,FALSE,FALSE,FALSE,,FALSE,TRUE,TRUE,0,3,7,FALSE,,FALSE,,FALSE
H8_ (2).pdf,Robbie,3,FALSE,FALSE,4471,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,0,0,1,FALSE,,FALSE,,TRUE
H8_ (20).pdf,Haley,8,FALSE,FALSE,59,TRUE,TRUE,FALSE,,TRUE,TRUE,FALSE,1,3,0,TRUE,,FALSE,,FALSE
H8_ (21).pdf,Noah,5,FALSE,FALSE,1876,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,1,3,0,TRUE,,FALSE,,FALSE
H8_ (22).pdf,Michael,39,FALSE,FALSE,5773,FALSE,FALSE,FALSE,*klonk*  decent robot,TRUE,FALSE,TRUE,1,0,3,FALSE,,FALSE,,TRUE
H8_ (23).pdf,Michael,40,FALSE,FALSE,1744,FALSE,FALSE,FALSE,Nuttin. Good robot. ,TRUE,TRUE,FALSE,5,3,0,FALSE,,FALSE,,TRUE
,,,,,,,,,,,,,,,,,,,,
H8_ (25).pdf,Robbie,4,FALSE,FALSE,5410,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,0,0,4,FALSE,,FALSE,,TRUE
H8_ (26).pdf,,42,FALSE,FALSE,7216,TRUE,FALSE,FALSE,Seems useles,TRUE,FALSE,FALSE,1,0,0,FALSE,,FALSE,,FALSE
H8_ (27).pdf,,43,FALSE,FALSE,5949,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,0,0,0,TRUE,,FALSE,,FALSE
H8_ (28).pdf,Michael,44,TRUE,FALSE,3410,TRUE,FALSE,FALSE,Came back alive for the last 8 seconds,FALSE,FALSE,FALSE,0,0,0,FALSE,,FALSE,,FALSE
H8_ (29).pdf,Michael,45,TRUE,FALSE,86,FALSE,FALSE,FALSE,Controls didn't respond,FALSE,FALSE,FALSE,0,0,0,FALSE,,FALSE,,FALSE
,,,,,,,,,,,,,,,,,,,,
H8_ (30).pdf,Michael,46,FALSE,FALSE,6388,TRUE,TRUE,FALSE,,FALSE,FALSE,TRUE,0,0,3,FALSE,,FALSE,,FALSE
,,,,,,,,,,,,,,,,,,,,
H8_ (32).pdf,Michael,48,FALSE,FALSE,5472,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,1,4,6,FALSE,,FALSE,,TRUE
H8_ (33).pdf,Michael,49,FALSE,FALSE,801,TRUE,FALSE,TRUE,Best robot,TRUE,TRUE,FALSE,1,3,0,TRUE,,FALSE,,FALSE
H8_ (34).pdf,Claire,50,FALSE,FALSE,744,FALSE,TRUE,FALSE,,TRUE,TRUE,FALSE,1,5,0,FALSE,,FALSE,,TRUE
H8_ (35).pdf,Claire,51,FALSE,FALSE,6686,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,0,0,0,FALSE,,FALSE,,TRUE
H8_ (36).pdf,Claire,53,FALSE,FALSE,5842,TRUE,TRUE,FALSE,,TRUE,TRUE,FALSE,4,3,0,FALSE,,TRUE,,FALSE
H8_ (37).pdf,Claure,52,FALSE,FALSE,4562,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,0,1,0,FALSE,,TRUE,,FALSE
H8_ (38).pdf,Barb,60,FALSE,FALSE,1251,TRUE,TRUE,FALSE,,TRUE,TRUE,FALSE,3,3,0,TRUE,1,FALSE,,FALSE
H8_ (39).pdf,Barb,61,FALSE,FALSE,5872,TRUE,TRUE,FALSE,,TRUE,FALSE,FALSE,3,0,0,FALSE,,TRUE,,FALSE
H8_ (4).pdf,Robbie,2,FALSE,FALSE,1065,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,0,0,9,FALSE,,TRUE,,FALSE
H8_ (40).pdf,Barb,62,FALSE,FALSE,2383,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,0,3,3,FALSE,,FALSE,,TRUE
H8_ (41).pdf,Barb,63,FALSE,FALSE,4533,TRUE,TRUE,FALSE,,FALSE,FALSE,TRUE,0,0,9,FALSE,,FALSE,,TRUE
,,,,,,,,,,,,,,,,,,,,
H8_ (43).pdf,Claire,54,FALSE,FALSE,6001,FALSE,TRUE,FALSE,,TRUE,FALSE,TRUE,1,0,1,FALSE,,FALSE,,TRUE
